"company","jobType.0","location","positionName","rating","reviewsCount","salary","text_salary","numeric_salary","Python","SQL","Azure"," R ","AWS","Spark","Power BI","Tableau","Java","Excel","Git","HBO","WO","Master","Bachelor","degree1","degree2","experience"
"Mattel","Unknown","Amstelveen","Regulatory Compliance Analyst (Sustainability and EPR data )",3.9,1027,"","",NA,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Both","HBO","Medior"
"Cushman & Wakefield","Full-time","Amsterdam","Junior Business Intelligence Analyst",3.7,2139,"","",NA,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,"Bachelor","HBO","Medior"
"Coolblue","Full-time","Rotterdam","Manager People Analytics & Data",3.6,324,"","",NA,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,"None","WO","Senior"
"Lely","Unknown","Maassluis","Digital Marketing Specialist",3.6,73,"€ 3.500 - € 4.500 per maand","per maand",51840,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,"Master","HBO","Senior"
"Coolblue","Full-time","Rotterdam","Manager People Analytics & Data",3.6,324,"","",NA,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"None","WO","Senior"
"ZT Systems","Full-time","Almelo","Data Analyst",3,166,"","",NA,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,"None","HBO","Medior"
"Rivas Zorggroep","Full-time","Gorinchem","Business information analist",3.4,52,"€ 4.194,02 - € 5.593,19 per maand","per maand",63421.056,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,"None","HBO","Medior"
"Alliander","Full-time","Arnhem","Digitaal Analist",4,63,"€ 4.955 - € 7.097 per maand","per maand",78096.96,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"None","WO","Senior"
"Keyrock","Full-time","Amsterdam","Product Manager - Trading",NA,NA,"","",NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,"Bachelor","WO","Medior"
"Atos","Unknown","Amstelveen","Business Analyst",3.5,3297,"","",NA,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,"Both","WO","Medior"
"BridgeFund","Full-time","Amsterdam","Marketing Manager Digital",4.9,21,"","",NA,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"None","WO","Senior"
"McDonalds","Full-time","Utrecht","Business Insights Lead",3.4,245563,"","",NA,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,"None","HBO","Senior"
"Viatris","Full-time","Amstelveen","Business Intelligence Analyst",3.7,1133,"","",NA,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,"Both","HBO","Medior"
"VodafoneZiggo","Part-time","Amsterdam","Insight Analist",4,2693,"€ 3.300 - € 4.500 per maand","per maand",50544,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,"Master","HBO","Medior"
"Vio.com","Unknown","Amsterdam","Full Stack Marketing Tech Engineer",NA,NA,"","",NA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"None","WO","Medior"
"Achmea","Part-time","Apeldoorn","Pricing Analist Schade Bedrijven",3.8,224,"€ 4.873 - € 6.750 per maand","per maand",75317.04,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,"Master","HBO","Senior"
"Mediahuis","Full-time","Amsterdam","Data-analist Mediahuis Radio",3.7,36,"","",NA,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,"None","HBO","Medior"
"Macaw","Part-time","Thuiswerk","Data Management & Governance Consultant",4.8,4,"","",NA,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,"Master","WO","Medior"
