"company","id","isExpired","jobType","jobType.0","jobType.1","jobType.2","jobType.3","jobType.4","jobType.5","jobType.6","location","positionName","postedAt","postingDateParsed","rating","reviewsCount","salary","scrapedAt","searchInput.country","searchInput.position","urlInput"
"Satelliet Meubelen","b2ba73e5367fdb09","false",NA,"Fulltime","","","","","","","Breda","Data Analist","1 dag geleden",NA,5,2,"Vanaf € 3.000 per maand","2024-08-09T18:39:57.766Z","NL","Data Analyst",NA
"House of Bèta","9185fe72052ca0ae","false",NA,"Vaste baan","","","","","","","2515 Den Haag","Traineeship Actuarieel Specialist","2 dagen geleden",NA,4.7,20,"","2024-08-09T18:39:59.414Z","NL","Data Analyst",NA
"Universiteit Leiden","c16134b2fca44447","false",NA,"Studentenbaan","Uitzicht op vast","Fulltime","","","","","Leiden","SOC Security Specialist","2 dagen geleden",NA,3.6,23,"€ 3.226 - € 5.929 per maand","2024-08-09T18:40:00.082Z","NL","Data Analyst",NA
"LX Pantos Netherlands B.V.","10fc6bbb5d12736a","false",NA,"Full-time","Permanent","","","","","","5047 Tilburg","Data Performance Analyst","2 dagen geleden",NA,NA,NA,"€ 2.500 - € 2.700 per maand","2024-08-09T18:40:00.347Z","NL","Data Analyst",NA
"House of Bèta","9a8454b5e74aee49","false",NA,"Vaste baan","Parttime","Detachering","Fulltime","","","","3011 Rotterdam","Traineeship House of Bèta","2 dagen geleden",NA,4.7,20,"","2024-08-09T18:40:01.188Z","NL","Data Analyst",NA
"DPG Media","5b88d3ff6bfdc51d","false",NA,"Fulltime","","","","","","","Amsterdam","HR Data & Reporting analist","2 dagen geleden",NA,3.1,28,"","2024-08-09T18:40:01.479Z","NL","Data Analyst",NA
"Ministerie van Defensie","7a8e00bb2c206333","false",NA,"Parttime","","","","","","","3712 Huis ter Heide","Analist OSINT","2 dagen geleden",NA,4,481,"€ 5.475 per maand","2024-08-09T18:40:01.990Z","NL","Data Analyst",NA
"AKD","0c3b9f6b6c958b11","false",NA,"","","","","","","","Rotterdam","Data Analyst","2 dagen geleden",NA,4.2,9,"","2024-08-09T18:40:02.077Z","NL","Data Analyst",NA
"Royal IHC","57653e2f1ad5acdc","false",NA,"Parttime","","","","","","","Sliedrecht","Werkstudent PowerBI analyst","2 dagen geleden",NA,3.8,54,"€ 2.422 per maand","2024-08-09T18:40:02.683Z","NL","Data Analyst",NA
"House of Bèta","b58436a2775e8107","false",NA,"Vaste baan","","","","","","","1011 Amsterdam Centrum","Traineeship Data science","2 dagen geleden",NA,4.7,20,"€ 2.850 per maand","2024-08-09T18:40:03.026Z","NL","Data Analyst",NA
"Broekhuis","5cff41a4fc30626e","false",NA,"Fulltime","","","","","","","3882 Putten","Business Analist","2 dagen geleden",NA,4,4,"","2024-08-09T18:40:03.348Z","NL","Data Analyst",NA
"Stater","210ba97381ba7e3f","false",NA,"Fulltime","","","","","","","Amersfoort","Test Engineer","1 dag geleden",NA,3.1,19,"€ 3.890 - € 5.733 per maand","2024-08-09T18:40:03.600Z","NL","Data Analyst",NA
"ABN AMRO","646caa6b2cb71596","false",NA,"","","","","","","","Amsterdam","Business Analist Financial Risk","2 dagen geleden",NA,4.1,1346,"","2024-08-09T18:40:03.564Z","NL","Data Analyst",NA
"House of Bèta","d446fbe9ed469559","false",NA,"Vaste baan","","","","","","","2515 Den Haag","Traineeship IT zonder vooropleiding in IT","2 dagen geleden",NA,4.7,20,"","2024-08-09T18:40:04.124Z","NL","Data Analyst",NA
"A-INSIGHTS","700ef79ec4997702","false",NA,"Fulltime","","","","","","","Amsterdam","Senior Market Intelligence Analyst (Delivery)","2 dagen geleden",NA,NA,NA,"€ 47.000 - € 60.000 per jaar","2024-08-09T18:40:04.481Z","NL","Data Analyst",NA
"EY","b07196e305e05309","false",NA,"","","","","","","","1083 Amsterdam Zuid","Consultant Forensic Data Analytics","2 dagen geleden",NA,3.9,10051,"","2024-08-09T18:40:04.927Z","NL","Data Analyst",NA
"TreviPay","afadcf9bc7962e51","false",NA,"Fulltime","","","","","","","Rijswijk","Business Credit Analyst II","2 dagen geleden",NA,3.2,62,"","2024-08-09T18:40:06.157Z","NL","Data Analyst",NA
"Inpact Solutions","6477f5512ceca250","false",NA,"Vaste baan","Fulltime","","","","","","2132 Hoofddorp","Junior Product Consultant","2 dagen geleden",NA,5,3,"€ 3.000 - € 3.500 per maand","2024-08-09T18:40:07.082Z","NL","Data Analyst",NA
"House of Bèta","73e3b22993b3cd0e","false",NA,"","","","","","","","3011 Rotterdam","Traineeship Cyber Security","2 dagen geleden",NA,4.7,20,"","2024-08-09T18:40:08.345Z","NL","Data Analyst",NA
