"company","id","isExpired","jobType","jobType.0","jobType.1","jobType.2","jobType.3","jobType.4","jobType.5","jobType.6","location","positionName","postedAt","postingDateParsed","rating","reviewsCount","salary","scrapedAt","searchInput.country","searchInput.position","urlInput"
"Coolgradient","3a25afae2ce77104","false",NA,"Full-time","","","","","","","1062 Amsterdam Nieuw-West","Mechanical Engineer","28 dagen geleden",NA,NA,NA,"€ 5.000 - € 8.000 per maand","2024-08-09T18:42:01.246Z","NL","Data Analyst",NA
"Bacu","574e4187b96472f6","false",NA,"Parttime","","","","","","","Uden","Data Analist","30+ dagen geleden",NA,NA,NA,"€ 2.750 - € 3.750 per maand","2024-08-09T18:42:01.572Z","NL","Data Analyst",NA
"YPublic","bfa1346829a463f2","false",NA,"Vaste baan","Parttime","Detachering","Fulltime","Betaalde opleiding / bbl","Projectbasis","Bepaalde tijd","Delft","Trainee Data Adviseur Overheid","30+ dagen geleden",NA,NA,NA,"Vanaf € 2.600 per maand","2024-08-09T18:42:01.728Z","NL","Data Analyst",NA
"Energie Data Services Nederland","eeebf332388bf1d5","false",NA,"Fulltime","","","","","","","Amersfoort","Senior Java Developer (Allocatie & Reconciliatie)","30 dagen geleden",NA,3.9,14,"€ 46.000 - € 85.000 per jaar","2024-08-09T18:42:01.873Z","NL","Data Analyst",NA
"Fractal Analytics","6c1aa33e2bd7e94a","false",NA,"Fulltime","","","","","","","Eindhoven","Data Business Analyst Supply Chain","30+ dagen geleden",NA,3.9,62,"","2024-08-09T18:42:02.152Z","NL","Data Analyst",NA
"Travix","d98c959f90c00004","false",NA,"","","","","","","","Amsterdam","Senior Product Manager Inflow Sales & Checkout Experience","30+ dagen geleden",NA,3.8,20,"","2024-08-09T18:42:02.219Z","NL","Data Analyst",NA
"Ring of Security B.V.","31fd38402c55e0ae","false",NA,"Fulltime","","","","","","","Amsterdam","Marketing Data Analyst","30+ dagen geleden",NA,3.5,49998,"","2024-08-09T18:42:02.430Z","NL","Data Analyst",NA
"Merit Medical Systems Inc.","177053b6434f3c20","false",NA,"Fulltime","","","","","","","Maastricht","Commercial Analyst","30+ dagen geleden",NA,3.3,228,"","2024-08-09T18:42:02.720Z","NL","Data Analyst",NA
"Sligro","f578b5335e80a5f0","false",NA,"","","","","","","","5466 Veghel","Ecommerce Data Analist","30+ dagen geleden",NA,3.4,188,"","2024-08-09T18:42:05.010Z","NL","Data Analyst",NA
"Xerox","637ef709a9af5301","false",NA,"Fulltime","","","","","","","Nederland","Data Analist","30+ dagen geleden",NA,3.4,15006,"","2024-08-09T18:42:05.483Z","NL","Data Analyst",NA
"Coolblue","407c42980936d1a9","false",NA,"Fulltime","","","","","","","3012 Rotterdam","Data Platform Engineer","30+ dagen geleden",NA,3.6,324,"","2024-08-09T18:42:05.561Z","NL","Data Analyst",NA
"Solera","5258cd96e2cf2d15","false",NA,"Fulltime","","","","","","","Nederland","Security Analyst","30+ dagen geleden",NA,2.7,534,"","2024-08-09T18:42:05.648Z","NL","Data Analyst",NA
"Icon plc","9e0c1a74e7698e79","false",NA,"Fulltime","","","","","","","Assen","Lab Analyst I","30+ dagen geleden",NA,3.4,1265,"","2024-08-09T18:42:05.863Z","NL","Data Analyst",NA
"Hoppinger","fb2319db90b95e04","false",NA,"","","","","","","","3024 Rotterdam","Webanalist CRO","30+ dagen geleden",NA,NA,NA,"","2024-08-09T18:42:05.986Z","NL","Data Analyst",NA
"BMC Software","3f087c66b5d2e86f","false",NA,"","","","","","","","Amsterdam","Sales Order Services Coordinator","30+ dagen geleden",NA,4,419,"","2024-08-09T18:42:06.008Z","NL","Data Analyst",NA
"Mattel","91c0d8f0948a8006","false",NA,"Fulltime","","","","","","","Amstelveen","Lead Systems Analyst (iSeries)","25 dagen geleden",NA,3.9,1027,"","2024-08-09T18:42:06.223Z","NL","Data Analyst",NA
"Coolgradient","c3ce1544c3c05b2e","false",NA,"Full-time","","","","","","","1062 Amsterdam Nieuw-West","Senior Data Analyst Engineer","28 dagen geleden",NA,NA,NA,"€ 35.000 - € 80.000 per jaar","2024-08-09T18:42:06.265Z","NL","Data Analyst",NA
"Alliander","5eada7f3cc6daf3c","false",NA,"Fulltime","","","","","","","6812 Arnhem","Business Analist Veranderteam","30+ dagen geleden",NA,4,63,"€ 4.274 - € 6.000 per maand","2024-08-09T18:42:06.306Z","NL","Data Analyst",NA
"FrieslandCampina","558127845bff8fbb","false",NA,"Parttime","Fulltime","","","","","","Amersfoort","Senior Data Engineer","29 dagen geleden",NA,4,484,"","2024-08-09T18:42:06.332Z","NL","Data Analyst",NA
"SAA Verzekeringen","b8cbcd9ff5e0e5a9","false",NA,"Parttime","Fulltime","","","","","","Rotterdam","(Junior) Product Owner","30+ dagen geleden",NA,2.9,17,"","2024-08-09T18:42:06.360Z","NL","Data Analyst",NA
"Northpool","2977b956837fdf43","false",NA,"","","","","","","","2316 Leiden","Medior Data Engineer","30+ dagen geleden",NA,NA,NA,"","2024-08-09T18:42:06.416Z","NL","Data Analyst",NA
"Kramp GmbH","c56a7fa65ac35ef1","false",NA,"","","","","","","","Varsseveld","HR Data & Analytics Specialist","30+ dagen geleden",NA,3.5,48,"","2024-08-09T18:42:06.460Z","NL","Data Analyst",NA
"Finaps","9d64b96fc569e4de","false",NA,"","","","","","","","Amsterdam","Senior Data Analytics Engineer","30+ dagen geleden",NA,NA,NA,"","2024-08-09T18:42:07.051Z","NL","Data Analyst",NA
"CBR","d00c14008d40b009","false",NA,"Parttime","Fulltime","","","","","","Rijswijk","Customer Journey Lead","30+ dagen geleden",NA,3.7,29,"€ 5.972,81 per maand","2024-08-09T18:42:07.832Z","NL","Data Analyst",NA
"CZ Zorgverzekeringen","2afc2948b5df83cd","false",NA,"Parttime","Fulltime","","","","","","Tilburg","Business Analist Marketing & Verkoop","30+ dagen geleden",NA,4,64,"€ 4.141 - € 6.507 per maand","2024-08-09T18:42:08.550Z","NL","Data Analyst",NA
"Coolgradient","4f130160b2e2b875","false",NA,"Full-time","","","","","","","1062 Amsterdam Nieuw-West","Data Science Lead","28 dagen geleden",NA,NA,NA,"€ 3.000 - € 8.000 per maand","2024-08-09T18:42:08.739Z","NL","Data Analyst",NA
"ChipSoft BV","5022c2b238057176","false",NA,"Fulltime","","","","","","","8448 Heerenveen","Technisch Performance Analist","30 dagen geleden",NA,3.6,31,"","2024-08-09T18:42:09.712Z","NL","Data Analyst",NA
"Scherpenhuizen Bv","7d8e83a36c5004eb","false",NA,"Fulltime","","","","","","","5651 Eindhoven","Assistent Business Analist","30+ dagen geleden",NA,NA,NA,"","2024-08-09T18:42:10.128Z","NL","Data Analyst",NA
"EO","f61aee84eb586204","false",NA,"Fulltime","","","","","","","1213 Hilversum","Markt- & Mediaonderzoeker/Data analist","30+ dagen geleden",NA,4.5,8,"","2024-08-09T18:42:10.235Z","NL","Data Analyst",NA
"Thribe BV","ea3119e4c667ab09","false",NA,"Vaste baan","Fulltime","","","","","","Schelle","Junior Data Analyst","30+ dagen geleden",NA,NA,NA,"€ 2.500 - € 4.000 per maand","2024-08-09T18:42:10.451Z","NL","Data Analyst",NA
"Convious","27758cf460853b35","false",NA,"Fulltime","","","","","","","Amsterdam","Data Engineer","30+ dagen geleden",NA,NA,NA,"","2024-08-09T18:42:10.485Z","NL","Data Analyst",NA
"Hans Anders Nederland","73b3685b68ee37fb","false",NA,"","","","","","","","4206 Gorinchem","Business IT analist","30+ dagen geleden",NA,3.8,200,"","2024-08-09T18:42:10.521Z","NL","Data Analyst",NA
"Solynta","204a87d7f55976ae","false",NA,"","","","","","","","Wageningen","Digital phenotyping data analyst","30+ dagen geleden",NA,NA,NA,"","2024-08-09T18:42:10.534Z","NL","Data Analyst",NA
"Vakmedianet","bbc3524e56ee9dcb","false",NA,"Fulltime","","","","","","","3704 Zeist","Product Analist","30+ dagen geleden",NA,3.5,2,"","2024-08-09T18:42:10.644Z","NL","Data Analyst",NA
"INNAX GEBOUW & OMGEVING","f2f61a414f5a8e35","false",NA,"Parttime","Fulltime","","","","","","Veenendaal","Data Analist – Energie en Meetdata","30+ dagen geleden",NA,4.7,9,"€ 3.531 - € 5.043 per maand","2024-08-09T18:42:10.665Z","NL","Data Analyst",NA
"Fractal Analytics","f93c5c82d7e1a911","false",NA,"Fulltime","","","","","","","Eindhoven","Senior Data Engineer - Big Data","30+ dagen geleden",NA,3.9,62,"","2024-08-09T18:42:10.724Z","NL","Data Analyst",NA
"Digital Power","81fe06a91020e53c","false",NA,"Parttime","Fulltime","","","","","","1096 Amsterdam Oost","Data Analist","30+ dagen geleden",NA,4.5,4,"€ 3.100 - € 6.500 per maand","2024-08-09T18:42:10.792Z","NL","Data Analyst",NA
"Universiteit Utrecht","9cf73369ec41692f","false",NA,"Fulltime","","","","","","","3584 Utrecht","Research technician Plant Physiology","30+ dagen geleden",NA,3.6,40,"€ 2.693 - € 3.636 per maand","2024-08-09T18:42:10.873Z","NL","Data Analyst",NA
"Exact","a0aa773cefdb9f9d","false",NA,"","","","","","","","Delft","Senior BI Specialist","30+ dagen geleden",NA,3.5,63,"","2024-08-09T18:42:11.351Z","NL","Data Analyst",NA
"beslist.nl","9a51199d5504a097","false",NA,"Fulltime","","","","","","","6825 Arnhem","Traineeship Data Analytics","30+ dagen geleden",NA,NA,NA,"€ 2.833 per maand","2024-08-09T18:42:11.737Z","NL","Data Analyst",NA
"Europol","5bdb2a4b012f8bfe","false",NA,"Fulltime","","","","","","","2517 Den Haag","Senior Specialist – Information Architect, Architecture Team, ICT Project & Execution Coordination Unit (AD8)","30+ dagen geleden",NA,4.3,13,"€ 8.216,45 per maand","2024-08-09T18:42:11.831Z","NL","Data Analyst",NA
"Macaw","cb6edbedacc0e42f","false",NA,"Parttime","","","","","","","Hoofddorp","Power BI Consultant","30+ dagen geleden",NA,4.8,4,"","2024-08-09T18:42:11.947Z","NL","Data Analyst",NA
"Appsbroker","bdbfe65481f9dc96","false",NA,"Fulltime","","","","","","","Utrecht","Senior Cloud Data Analyst - Looker","30+ dagen geleden",NA,NA,NA,"","2024-08-09T18:42:12.590Z","NL","Data Analyst",NA
"FrieslandCampina","f5a21c51a85992fa","false",NA,"Parttime","Fulltime","","","","","","Amersfoort","Controlling & Reporting Analyst","30+ dagen geleden",NA,4,484,"","2024-08-09T18:42:13.025Z","NL","Data Analyst",NA
"BaseClear","f1ec055b9d00f7a1","false",NA,"Parttime","Uitzicht op vast","Fulltime","Bepaalde tijd","","","","Leiden","Analist","30+ dagen geleden",NA,NA,NA,"","2024-08-09T18:42:13.129Z","NL","Data Analyst",NA
"iO","9ffd55209663a04f","false",NA,"Vaste baan","Fulltime","","","","","","Den Bosch","Data Analist","30+ dagen geleden",NA,2,2,"","2024-08-09T18:42:13.113Z","NL","Data Analyst",NA
"Panda","a6029bc29365d498","false",NA,"Freelance / zzp","","","","","","","Leiden","Technician QC Microbiology","30+ dagen geleden",NA,3.8,67,"","2024-08-09T18:42:13.479Z","NL","Data Analyst",NA
"Tiqets","dcf2da2a9e14c4d6","false",NA,"Fulltime","","","","","","","Amsterdam","Data Analyst","30+ dagen geleden",NA,5,2,"","2024-08-09T18:42:13.615Z","NL","Data Analyst",NA
"Appsbroker","80eca53d4a2dc6c5","false",NA,"Fulltime","","","","","","","Utrecht","Senior Agile Delivery Consultant / Business Analyst","30+ dagen geleden",NA,NA,NA,"","2024-08-09T18:42:13.746Z","NL","Data Analyst",NA
"Appsbroker","5698bbff2efbb466","false",NA,"Fulltime","","","","","","","Utrecht","Senior Data Engineer","30+ dagen geleden",NA,NA,NA,"","2024-08-09T18:42:13.800Z","NL","Data Analyst",NA
"Coolblue","a5957c596904c3bf","false",NA,"Fulltime","","","","","","","3012 Rotterdam","Analytics Engineer","30+ dagen geleden",NA,3.6,324,"","2024-08-09T18:42:13.889Z","NL","Data Analyst",NA
"Naktuinbouw","49adde8180b9b06c","false",NA,"Fulltime","","","","","","","2371 Roelofarendsveen","Business Analist","30+ dagen geleden",NA,3.7,3,"€ 5.000 - € 7.150 per maand","2024-08-09T18:42:13.925Z","NL","Data Analyst",NA
"De Volksbank","0532e2c140488725","false",NA,"Parttime","Fulltime","","","","","","Utrecht","Data Steward","30+ dagen geleden",NA,4,30,"€ 4.107,23 - € 6.318,81 per maand","2024-08-09T18:42:14.341Z","NL","Data Analyst",NA
"Goossens","8a1bda0c67d6c6ab","false",NA,"Parttime","Fulltime","","","","","","5465 Veghel","Marketing Data Analist","30+ dagen geleden",NA,3.7,26,"","2024-08-09T18:42:14.436Z","NL","Data Analyst",NA
"The Sharing Group","363988786d7942c0","false",NA,"Fulltime","","","","","","","3072 Rotterdam","Product Owner (energietransitie)","30+ dagen geleden",NA,NA,NA,"€ 4.500 - € 6.500 per maand","2024-08-09T18:42:14.493Z","NL","Data Analyst",NA
"Allianz BeNeLux","f369969c9050d504","false",NA,"Fulltime","","","","","","","3012 Rotterdam","Lead Data Analyst & Business Intelligence","30+ dagen geleden",NA,3.8,3192,"","2024-08-09T18:42:14.835Z","NL","Data Analyst",NA
"Kwantum","f32b4adfb19d0b02","false",NA,"Fulltime","","","","","","","5032 Tilburg","BI Analist HFG","30+ dagen geleden",NA,3.3,143,"€ 4.065 - € 5.015 per maand","2024-08-09T18:42:16.844Z","NL","Data Analyst",NA
"Visser & Smit Hanab P&I","ee34a1d654352f61","false",NA,"","","","","","","","Papendrecht","Product Owner BI","30+ dagen geleden",NA,NA,NA,"€ 4.500 - € 5.500 per maand","2024-08-09T18:42:16.958Z","NL","Data Analyst",NA
"Gemeente Den Haag","b3cf85a2f7586317","false",NA,"","","","","","","","Den Haag","Senior Business (Informatie) Analist Sociaal Domein","30+ dagen geleden",NA,3.8,83,"€ 5.561 - € 7.325 per maand","2024-08-09T18:42:16.983Z","NL","Data Analyst",NA
"DotControl","2e8335dbbed02711","false",NA,"Parttime","Fulltime","","","","","","Nederland","Delivery Manager","30+ dagen geleden",NA,NA,NA,"€ 4.000 - € 5.500 per maand","2024-08-09T18:42:17.139Z","NL","Data Analyst",NA
"FrieslandCampina","f74fb30b3108ad21","false",NA,"Parttime","Fulltime","","","","","","Amersfoort","Controlling Commercial Analyst","30+ dagen geleden",NA,4,484,"","2024-08-09T18:42:17.293Z","NL","Data Analyst",NA
"Signify","7718630272200e30","false",NA,"","","","","","","","Eindhoven","SOC & Insider Threat Intern","30+ dagen geleden",NA,3.8,329,"","2024-08-09T18:42:17.417Z","NL","Data Analyst",NA
"JEX","e4a8e5bf0e446696","false",NA,"","","","","","","","3062 Rotterdam","Social Ads Specialist","30+ dagen geleden",NA,4.7,22,"€ 3.000 - € 4.200 per maand","2024-08-09T18:42:17.558Z","NL","Data Analyst",NA
"Essent","bf006a1631c61e05","false",NA,"","","","","","","","Den Bosch","Technisch Digital Analist","30+ dagen geleden",NA,4,23,"€ 3.688 - € 5.734 per maand","2024-08-09T18:42:17.612Z","NL","Data Analyst",NA
"Kwantum","1db2b99faecdd2c7","false",NA,"Fulltime","","","","","","","4941 Raamsdonksveer","Web Analist - Leen Bakker","30+ dagen geleden",NA,3.3,143,"€ 4.065 - € 5.015 per maand","2024-08-09T18:42:17.670Z","NL","Data Analyst",NA
"Merit Medical Systems Inc.","59c27b76e6c97bd0","false",NA,"Fulltime","","","","","","","Maastricht","Commercial Compensation Analyst","30+ dagen geleden",NA,3.3,228,"","2024-08-09T18:42:17.742Z","NL","Data Analyst",NA
"Travix","abc251827d95d573","false",NA,"","","","","","","","Amsterdam","Senior Product Analyst (Web)","30+ dagen geleden",NA,3.8,20,"","2024-08-09T18:42:17.760Z","NL","Data Analyst",NA
"Visser & Smit Hanab","965c23e8478c9122","false",NA,"","","","","","","","Papendrecht","Product Owner BI","30+ dagen geleden",NA,2.8,17,"€ 4.500 - € 5.500 per maand","2024-08-09T18:42:17.904Z","NL","Data Analyst",NA
"Kwantum","610fca9e25fcda76","false",NA,"Parttime","Fulltime","","","","","","4941 Raamsdonksveer","Commercieel Analist - Leen Bakker","30+ dagen geleden",NA,3.3,143,"€ 4.065 - € 5.015 per maand","2024-08-09T18:42:17.868Z","NL","Data Analyst",NA
"Recruit2, Talent Acquisition Specialists","b0e2c10aa660a503","false",NA,"Uitzicht op vast","Proeftijd","","","","","","Eindhoven","Medior Cisco Netwerk Engineer (datacenter, VPN, Cloud)","30+ dagen geleden",NA,NA,NA,"€ 48.000 - € 60.000 per jaar","2024-08-09T18:42:18.186Z","NL","Data Analyst",NA
"Provincie Overijssel","f78d2be07ca1b585","false",NA,"Parttime","Fulltime","","","","","","8012 Zwolle","Informatieadviseur","30+ dagen geleden",NA,4.3,8,"€ 3.555,55 - € 5.008,11 per maand","2024-08-09T18:42:18.525Z","NL","Data Analyst",NA
"Vio.com","5ba69793885271e4","false",NA,"","","","","","","","Amsterdam","Engineering Manager","30+ dagen geleden",NA,NA,NA,"","2024-08-09T18:42:20.929Z","NL","Data Analyst",NA
"AllChiefs","1bde378a3fdec8bc","false",NA,"Fulltime","","","","","","","3013 Rotterdam","Data Business Lead","30+ dagen geleden",NA,5,3,"","2024-08-09T18:42:20.986Z","NL","Data Analyst",NA
"Shimano","6a86a25615302ac2","false",NA,"Fulltime","","","","","","","Eindhoven","Business Analyst","30+ dagen geleden",NA,3.4,189,"","2024-08-09T18:42:21.084Z","NL","Data Analyst",NA
"New10 B.V.","ed803ec9fec8c8b5","false",NA,"Parttime","","","","","","","1097 Amsterdam","Junior Data Analyst","30+ dagen geleden",NA,NA,NA,"","2024-08-09T18:42:21.269Z","NL","Data Analyst",NA
"Homefashion Group","e40acf503b9dd6bd","false",NA,"","","","","","","","5032 Tilburg","BI Analist HFG","30+ dagen geleden",NA,3.5,2,"€ 4.065 - € 5.015 per maand","2024-08-09T18:42:21.435Z","NL","Data Analyst",NA
"Landal","5c810504fa419c0f","false",NA,"Parttime","Fulltime","","","","","","1097 Amsterdam","Business Analyst","30+ dagen geleden",NA,3.7,73,"","2024-08-09T18:42:21.531Z","NL","Data Analyst",NA
"Roompot","253f1314a253c661","false",NA,"Parttime","Fulltime","","","","","","1097 Amsterdam","Business Analyst","30+ dagen geleden",NA,3.5,85,"€ 4.040 - € 5.775 per maand","2024-08-09T18:42:21.491Z","NL","Data Analyst",NA
"STX Group","b332ee6ab82f4a96","false",NA,"","","","","","","","Amsterdam","IT Business Analyst","30+ dagen geleden",NA,NA,NA,"","2024-08-09T18:42:21.448Z","NL","Data Analyst",NA
"Recruit2, Talent Acquisition Specialists","ae8484d1b70b610d","false",NA,"Uitzicht op vast","Proeftijd","","","","","","Eindhoven","Senior Cisco Netwerk Engineer (datacenter, VPN, Cloud)","30+ dagen geleden",NA,NA,NA,"€ 60.000 - € 80.000 per jaar","2024-08-09T18:42:21.620Z","NL","Data Analyst",NA
"Picnic","1e96faab174c07c1","false",NA,"Net afgestudeerd","","","","","","","Amsterdam","UX Researcher - Dutch Speaking","30+ dagen geleden",NA,3.1,503,"","2024-08-09T18:42:21.673Z","NL","Data Analyst",NA
"Caesar Groep","50edb688714f4bfc","false",NA,"Fulltime","","","","","","","3528 Utrecht","Senior Informatie Analist bij Garansys","30+ dagen geleden",NA,5,3,"€ 4.850 - € 6.100 per maand","2024-08-09T18:42:21.728Z","NL","Data Analyst",NA
"Athora Netherlands","dd2b8a07f764b445","false",NA,"Fulltime","","","","","","","Amsterdam","Online Intelligence Analyst (CRO Specialist) met Growth Hacking Skills","30+ dagen geleden",NA,3.2,25,"€ 3.616,67 - € 5.510,26 per maand","2024-08-09T18:42:21.802Z","NL","Data Analyst",NA
"Bosch Group","7745ec75310f67ed","false",NA,"Fulltime","","","","","","","5617 Eindhoven","Business Analyst","30+ dagen geleden",NA,4,7218,"","2024-08-09T18:42:21.997Z","NL","Data Analyst",NA
"Landal","8d99f07933aa3850","false",NA,"Uitzicht op vast","Bepaalde tijd","Proeftijd","","","","","1097 Amsterdam","Data Analist","30+ dagen geleden",NA,3.7,73,"","2024-08-09T18:42:22.036Z","NL","Data Analyst",NA
"Leen Bakker","90675d93eaaa7cf9","false",NA,"","","","","","","","4941 Raamsdonksveer","Web Analist - Leen Bakker","30+ dagen geleden",NA,3.2,171,"€ 4.065 - € 5.015 per maand","2024-08-09T18:42:23.810Z","NL","Data Analyst",NA
"Bitvavo","b81b51369f8b8735","false",NA,"Fulltime","","","","","","","Amsterdam","Product Analyst","30+ dagen geleden",NA,NA,NA,"","2024-08-09T18:42:23.903Z","NL","Data Analyst",NA
"Via","b7339a299bb7d3c8","false",NA,"Fulltime","","","","","","","Nederland","Transportation Data Analyst (Citymapper)","30+ dagen geleden",NA,3.5,15,"","2024-08-09T18:42:23.942Z","NL","Data Analyst",NA
"Heeyoo","83fcf1e75872e8f2","false",NA,"Parttime","Fulltime","","","","","","Veenendaal","Data Analist","30+ dagen geleden",NA,NA,NA,"Vanaf € 60.500 per jaar","2024-08-09T18:42:24.011Z","NL","Data Analyst",NA
"Leen Bakker","68d9bfe68b5e38b9","false",NA,"","","","","","","","4941 Raamsdonksveer","Commercieel Analist - Leen Bakker","30+ dagen geleden",NA,3.2,171,"€ 4.065 - € 5.015 per maand","2024-08-09T18:42:24.046Z","NL","Data Analyst",NA
"Homefashion Group","c8d0931905a73180","false",NA,"","","","","","","","4941 Raamsdonksveer","Commercieel Analist - Leen Bakker","30+ dagen geleden",NA,3.5,2,"€ 4.065 - € 5.015 per maand","2024-08-09T18:42:24.110Z","NL","Data Analyst",NA
"JEX","8fa25743969d435c","false",NA,"","","","","","","","3062 Rotterdam","Data Analist Commercie (Junior)","30+ dagen geleden",NA,4.7,22,"€ 3.000 - € 4.200 per maand","2024-08-09T18:42:24.179Z","NL","Data Analyst",NA
"Clink Diensten","8dca252cf8339c99","false",NA,"Uitzicht op vast","Fulltime","Bepaalde tijd","","","","","3067 Rotterdam","Business Intelligence Analyst","30+ dagen geleden",NA,NA,NA,"€ 5.897 per maand","2024-08-09T18:42:24.358Z","NL","Data Analyst",NA
"UNO Automatiseringdiensten B.V.","2acf432a601887f2","false",NA,"Fulltime","","","","","","","2289 Rijswijk","Security Engineer - SOC Analist","30+ dagen geleden",NA,NA,NA,"€ 3.500 - € 4.500 per maand","2024-08-09T18:42:24.445Z","NL","Data Analyst",NA
"Roompot","43b93cb2606fd79f","false",NA,"Uitzicht op vast","Bepaalde tijd","Proeftijd","","","","","1097 Amsterdam","Data Analist","30+ dagen geleden",NA,3.5,85,"€ 4.040 - € 5.775 per maand","2024-08-09T18:42:24.703Z","NL","Data Analyst",NA
"Lidl","57bf16d79ab7fa37","false",NA,"Parttime","Fulltime","","","","","","1271 Huizen","Data analyst HR Huizen (32-40 uur)","30+ dagen geleden",NA,3.1,13406,"","2024-08-09T18:42:24.755Z","NL","Data Analyst",NA
"MSD","e109467021ef3b82","false",NA,"Fulltime","","","","","","","Haarlem","Financial Analyst COSI","30+ dagen geleden",NA,4.1,921,"","2024-08-09T18:42:24.815Z","NL","Data Analyst",NA
"Homefashion Group","3f1e481fff032de6","false",NA,"","","","","","","","4941 Raamsdonksveer","Web Analist - Leen Bakker","30+ dagen geleden",NA,3.5,2,"€ 4.065 - € 5.015 per maand","2024-08-09T18:42:25.046Z","NL","Data Analyst",NA
"GLO Integration","da006fd0e55e9916","false",NA,"Parttime","","","","","","","1081 Amsterdam Zuid","Data & Technology Analyst","30+ dagen geleden",NA,3.9,13323,"","2024-08-09T18:42:25.180Z","NL","Data Analyst",NA
"Grandvision Support Office","e9a72c93f2db4862","false",NA,"Parttime","Fulltime","","","","","","3769 Soesterberg","Senior Data Analyst","30+ dagen geleden",NA,3.4,211,"€ 3.726 - € 5.322 per maand","2024-08-09T18:42:25.452Z","NL","Data Analyst",NA
"Zorgboodschap","db1fd05d95b57795","false",NA,"","","","","","","","Sassenheim","Business Analist","30+ dagen geleden",NA,1.4,7,"","2024-08-09T18:42:25.633Z","NL","Data Analyst",NA
"Recharge","16be50839ad54284","false",NA,"Fulltime","","","","","","","Amsterdam","Senior Business Analyst","30+ dagen geleden",NA,5,2,"","2024-08-09T18:42:25.757Z","NL","Data Analyst",NA
"Leen Bakker","86922c8bc11e6ccc","false",NA,"","","","","","","","5032 Tilburg","BI Analist HFG","30+ dagen geleden",NA,3.2,171,"€ 4.065 - € 5.015 per maand","2024-08-09T18:42:26.162Z","NL","Data Analyst",NA
"Revalize","8f0d74b66197690a","false",NA,"Fulltime","","","","","","","Thuiswerk","Implementation Specialist (CPQ)","30+ dagen geleden",NA,1.3,4,"","2024-08-09T18:42:26.225Z","NL","Data Analyst",NA
"HEMA","63000dc932f15708","false",NA,"Parttime","Fulltime","","","","","","1033 Amsterdam Noord","Data Analist - Supply Chain","30+ dagen geleden",NA,3.5,848,"€ 3.500 - € 5.500 per maand","2024-08-09T18:42:26.135Z","NL","Data Analyst",NA
"B&S","a7392c53460f8f90","false",NA,"Fulltime","","","","","","","Dordrecht","Business Analyst","30+ dagen geleden",NA,3.3,13,"€ 3.000 per maand","2024-08-09T18:42:26.636Z","NL","Data Analyst",NA
"VodafoneZiggo","66dddef26afb0906","false",NA,"Parttime","Fulltime","","","","","","3511 Utrecht","Sr. Financial Reporting Analyst","30+ dagen geleden",NA,4,2693,"€ 4.500 - € 6.400 per maand","2024-08-09T18:42:26.756Z","NL","Data Analyst",NA
"BeFrank","3ed11d4656acee6e","false",NA,"","","","","","","","Amsterdam","Business Analist","30+ dagen geleden",NA,NA,NA,"€ 3.308 - € 6.615 per maand","2024-08-09T18:42:26.726Z","NL","Data Analyst",NA
"APG","b6689712c78cabd7","false",NA,"Parttime","Fulltime","","","","","","Amsterdam","Portfolio Manager Research & Analytics, Private Natural Capital","30+ dagen geleden",NA,3.6,39,"","2024-08-09T18:42:26.968Z","NL","Data Analyst",NA
"Goudwisselkantoor","394d38fb2c1c7529","false",NA,"Fulltime","","","","","","","Klaaswaal","Data Analist","30+ dagen geleden",NA,NA,NA,"€ 4.500 - € 6.500 per maand","2024-08-09T18:42:27.141Z","NL","Data Analyst",NA
"ENGIE ENERGIE NEDERLAND N.V.","dcf1c7845ecbf860","false",NA,"Fulltime","","","","","","","8041 Zwolle","(Junior) Business Analist Marktprocessen","30+ dagen geleden",NA,3.5,2156,"","2024-08-09T18:42:27.219Z","NL","Data Analyst",NA
"Eneco","1dc7b0e0e0849570","false",NA,"","","","","","","","Rotterdam","Quantitative Developer - Algorithmic Trading","30+ dagen geleden",NA,3.6,130,"€ 67 - € 90 per dag","2024-08-09T18:42:27.467Z","NL","Data Analyst",NA
"Infor","f5b8b67ba381d9af","false",NA,"","","","","","","","Barneveld","ERP Quality Assurance Analyst","30+ dagen geleden",NA,3.7,707,"","2024-08-09T18:42:27.772Z","NL","Data Analyst",NA
"Lely","18c3384c778dbac0","false",NA,"","","","","","","","3147 Maassluis","Digital Marketeer","30+ dagen geleden",NA,3.6,73,"€ 3.500 - € 4.500 per maand","2024-08-09T18:42:28.341Z","NL","Data Analyst",NA
"Allianz Direct","027ab3e08e96f0c0","false",NA,"Fulltime","","","","","","","3011 Rotterdam","Analist Acceptatie & Fraudepreventie","30+ dagen geleden",NA,3.8,3192,"","2024-08-09T18:42:28.525Z","NL","Data Analyst",NA
"Stedin","be332a0973a64222","false",NA,"Parttime","Fulltime","","","","","","Rotterdam","Cloud Consultant","30+ dagen geleden",NA,3.8,20,"€ 7.192 per maand","2024-08-09T18:42:28.567Z","NL","Data Analyst",NA
"Universiteit Leiden","c40e65dd78250e05","false",NA,"Uitzicht op vast","Fulltime","","","","","","Leiden","Teamleider Research Support","30+ dagen geleden",NA,3.6,23,"€ 4.332 - € 5.929 per maand","2024-08-09T18:42:28.759Z","NL","Data Analyst",NA
